
="",="(1)"
="",=""

="gdp_growth",=""
="gdp_growth",="1"
="",=""

="trade_gdp",="0.0443"
="",=""

="investment",="-0.0381"
="",=""

="inflation",="-0.304*"
="",=""

="govt_exp",="-0.529*"
="",=""

="tertiary_educ",="0.0509"
="",=""

="trade_gdp",=""
="trade_gdp",="1"
="",=""

="investment",="0.657***"
="",=""

="inflation",="0.132"
="",=""

="govt_exp",="0.249"
="",=""

="tertiary_educ",="0.954***"
="",=""

="investment",=""
="investment",="1"
="",=""

="inflation",="0.602***"
="",=""

="govt_exp",="-0.125"
="",=""

="tertiary_educ",="0.368**"
="",=""

="inflation",=""
="inflation",="1"
="",=""

="govt_exp",="0.123"
="",=""

="tertiary_educ",="-0.274"
="",=""

="govt_exp",=""
="govt_exp",="1"
="",=""

="tertiary_educ",="0.225"
="",=""

="tertiary_educ",=""
="tertiary_educ",="1"
="",=""

="N",="63"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
