="Comparative Model Results"
="",="(1)",="(2)",="(3)"
="yr_35",="",="0.000",=""
="",="",="(.)",=""
="yr_36",="",="0.000",=""
="",="",="(.)",=""
="yr_37",="",="0.000",=""
="",="",="(.)",=""
="yr_38",="",="0.000",=""
="",="",="(.)",=""
="yr_39",="",="0.000",=""
="",="",="(.)",=""
="yr_40",="",="0.000",=""
="",="",="(.)",=""
="yr_41",="",="0.000",=""
="",="",="(.)",=""
="yr_42",="",="0.000",=""
="",="",="(.)",=""
="yr_43",="",="0.000",=""
="",="",="(.)",=""
="yr_44",="",="0.000",=""
="",="",="(.)",=""
="yr_45",="",="0.000",=""
="",="",="(.)",=""
="yr_46",="",="0.000",=""
="",="",="(.)",=""
="yr_47",="",="0.000",=""
="",="",="(.)",=""
="yr_48",="",="0.000",=""
="",="",="(.)",=""
="yr_49",="",="0.000",=""
="",="",="(.)",=""
="yr_50",="",="0.000",=""
="",="",="(.)",=""
="yr_51",="",="0.000",=""
="",="",="(.)",=""
="yr_52",="",="0.000",=""
="",="",="(.)",=""
="yr_53",="",="0.000",=""
="",="",="(.)",=""
="yr_54",="",="0.000",=""
="",="",="(.)",=""
="yr_55",="",="0.000",=""
="",="",="(.)",=""
="yr_56",="",="0.000",=""
="",="",="(.)",=""
="yr_57",="",="0.000",=""
="",="",="(.)",=""
="yr_58",="",="0.000",=""
="",="",="(.)",=""
="yr_59",="",="0.000",=""
="",="",="(.)",=""
="yr_60",="",="0.000",=""
="",="",="(.)",=""
="yr_61",="",="0.000",=""
="",="",="(.)",=""
="yr_62",="",="0.000",=""
="",="",="(.)",=""
="yr_63",="",="0.000",=""
="",="",="(.)",=""
="_cons",="15.926",="4.781",="5.726"
="",="(.)",="(.)",="(20.988)"
="N",="61",="62",="13"
